kayit_id,source_file,degisim_tipi,alan,eski_deger,yeni_deger,gerekce,duzenleme_turu
DKR0280,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0281,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0283,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0285,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0286,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0286,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0288,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0289,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
DKR0292,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0292,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,tip_duzeltme,karakter_2_tipi,grup,kişi,bağlamsal düğüm tipi düzeltildi,
DKR0342,07_kanli_koca_oglu_kan_turali_boyu.csv,tip_duzeltme,karakter_1_tipi,grup,kişi,bağlamsal düğüm tipi düzeltildi,
DKR0342,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0343,07_kanli_koca_oglu_kan_turali_boyu.csv,tip_duzeltme,karakter_1_tipi,grup,kişi,bağlamsal düğüm tipi düzeltildi,
DKR0345,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0346,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0347,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0347,07_kanli_koca_oglu_kan_turali_boyu.csv,tip_duzeltme,karakter_2_tipi,grup,kişi,bağlamsal düğüm tipi düzeltildi,
DKR0354,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0355,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0356,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0359,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0360,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0361,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0364,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0370,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0371,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_1,Tekfur,Tekfur (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
DKR0377,07_kanli_koca_oglu_kan_turali_boyu.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Kan Turalı Boyu),alias/generic bağlama göre düzeltildi,
